계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201909,38038,18,3000,산8*,임야,개발제한구역,-,102.0000,597.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38039,19,3000,산6*,임야,개발제한구역,-,991.0000,7170.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38040,27,3000,산8*,임야,보전녹지지역,-,676.0000,23400.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41733,01,3000,산6*,임야,개발제한구역,-,99.0000,761.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41734,05,3000,산6*,임야,개발제한구역,-,198.0000,1525.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41735,06,3000,산8*,임야,개발제한구역,-,331.0000,1990.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41736,07,3000,산6*,임야,개발제한구역,-,198.0000,1538.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41737,12,3000,산8*,임야,보전녹지지역,-,676.0000,20400.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41738,13,3000,산8*,임야,개발제한구역,-,332.0000,1990.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41739,16,3000,산6*,임야,개발제한구역,-,3306.0000,4400.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41749,08,3577,5**,답,보전녹지지역,-,200.0000,9600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41750,08,3577,산6*,임야,보전녹지지역,-,17.0000,1400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41751,19,3577,산6*,임야,보전녹지지역,-,17.0000,1400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41752,21,3577,산6*,임야,보전녹지지역,-,66.0000,4600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41753,26,3577,산6*,임야,보전녹지지역,-,13.0000,1120.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41754,26,3577,산3*,임야,보전녹지지역,-,23.0000,1680.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41755,27,3577,산6*,임야,보전녹지지역,-,26.0000,1840.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41756,28,3577,5**,답,보전녹지지역,8m미만,166.0000,12042.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41757,28,3577,산2*,임야,보전녹지지역,-,66.0000,5000.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41758,29,3577,산*,임야,보전녹지지역,8m미만,66.0000,2600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201908,41759,29,3577,산*,임야,보전녹지지역,8m미만,99.0000,3600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201912,7853,05,3577,산6*,임야,보전녹지지역,-,33.0000,2800.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201912,7854,05,3577,산6*,임야,보전녹지지역,-,3305.0000,30000.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201912,7856,05,3577,산3*,임야,보전녹지지역,-,33.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201912,10164,06,3577,산6*,임야,보전녹지지역,-,66.0000,5600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46745,01,3577,산3*,임야,보전녹지지역,-,66.0000,4800.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46746,02,3577,산3*,임야,보전녹지지역,-,27.0000,1920.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46747,02,3577,산6*,임야,보전녹지지역,-,1591.0000,14428.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46748,04,3577,산1*,임야,보전녹지지역,-,165.0000,10500.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46749,04,3577,산1*,임야,보전녹지지역,-,122.0000,7770.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46750,05,3577,2**,임야,보전녹지지역,-,2.0000,30.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46751,07,3577,산3*,임야,보전녹지지역,-,99.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46752,07,3577,산3*,임야,보전녹지지역,-,17.0000,1200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46753,10,3577,산3*,임야,보전녹지지역,-,33.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46754,11,3577,3**,전,보전녹지지역,8m미만,416.0000,32500.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46755,11,3577,산3*,임야,보전녹지지역,-,99.0000,7200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46756,11,3577,산3*,임야,보전녹지지역,-,132.0000,9600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46757,11,3577,산3*,임야,보전녹지지역,-,33.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46758,11,3577,*,대,보전녹지지역,8m미만,1306.0000,340000.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46759,14,3577,산1*,임야,보전녹지지역,-,31.0000,2027.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46760,14,3577,산1*,임야,보전녹지지역,-,17.0000,1150.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
