계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
202112,1788,23,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,91.5300,50000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
202201,1304,05,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,93.2200,51500.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202202,1316,15,2088,1**,집합,판교로,근린상업,창고시설,25m이상,56.1200,36.7100,11645.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202202,1317,28,2088,1**,집합,판교로,근린상업,창고시설,25m이상,77.3500,50.6000,16055.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202202,1318,03,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,98.7300,50000.0000,7,,,-,직거래,경기도 성남시분당구 야탑동,4113510700
202203,1575,10,2084,*,집합,황새울로240번길,중심상업,자동차 관련시설,25m이상,58.7700,5.4900,2000.0000,1,지분,,-,직거래,경기도 성남시분당구 수내동,4113510200
202203,1576,18,2088,1**,집합,판교로,근린상업,공장,25m이상,150.0100,92.0900,53000.0000,8,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202203,1577,21,2088,1**,집합,판교로,근린상업,공장,25m이상,450.9200,276.7900,158000.0000,8,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202203,1578,21,2088,1**,집합,판교로,근린상업,공장,25m이상,447.3000,274.5900,153000.0000,8,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202203,1579,14,2088,1**,집합,판교로,근린상업,공장,25m이상,150.0100,92.6600,45000.0000,,,1994,-,직거래,경기도 성남시분당구 야탑동,4113510700
202203,1580,14,2088,1**,집합,판교로,근린상업,공장,25m이상,150.0100,92.6600,45000.0000,,,1994,-,직거래,경기도 성남시분당구 야탑동,4113510700
202204,1705,14,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,92.8500,52100.0000,2,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202204,1706,11,2088,1**,집합,판교로,근린상업,공장,25m이상,243.9900,149.5700,81000.0000,1,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
