계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201708,7118,22,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,147.0000,0.0000,55000.0000,5,,2003,-,,경기도 성남시분당구 수내동,4113510200
201708,7119,29,2084,3*,집합,내정로165번길,준주거,제1종근린생활,25m미만,82.0000,0.0000,25000.0000,,,1993,-,,경기도 성남시분당구 수내동,4113510200
201708,7120,30,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,56.0000,0.0000,29000.0000,,,2003,-,,경기도 성남시분당구 수내동,4113510200
201708,7121,10,2084,1*,집합,황새울로200번길,중심상업,업무,25m미만,31.0000,0.0000,13800.0000,8,,2004,-,,경기도 성남시분당구 수내동,4113510200
201708,7122,16,2084,*,집합,수내로,중심상업,제1종근린생활,25m이상,34.0000,0.0000,19000.0000,5,,2004,-,,경기도 성남시분당구 수내동,4113510200
201708,7123,21,2084,3*,집합,내정로165번길,준주거,제1종근린생활,25m미만,69.0000,0.0000,21000.0000,2,,1992,-,,경기도 성남시분당구 수내동,4113510200
201708,7124,11,2084,5*,집합,내정로174번길,준주거,제1종근린생활,25m미만,42.0000,0.0000,33500.0000,,,1993,-,,경기도 성남시분당구 수내동,4113510200
201708,7125,09,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,142.0000,0.0000,74000.0000,4,,2003,-,,경기도 성남시분당구 수내동,4113510200
201708,7126,31,2084,3*,집합,내정로165번길,준주거,제2종근린생활,25m미만,65.0000,0.0000,24000.0000,2,,1992,-,,경기도 성남시분당구 수내동,4113510200
201708,7127,08,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,215.0000,0.0000,77000.0000,5,,2003,-,,경기도 성남시분당구 수내동,4113510200
201708,7128,22,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,142.0000,0.0000,50000.0000,5,,2003,-,,경기도 성남시분당구 수내동,4113510200
201708,7129,24,2084,2*,집합,내정로165번길,제3종일반주거,제2종근린생활,25m이상,27.0000,0.0000,11000.0000,,,1993,-,,경기도 성남시분당구 수내동,4113510200
201708,7130,24,2084,3*,집합,내정로173번길,근린상업,제1종근린생활,25m미만,14.0000,0.0000,5000.0000,,,1996,-,,경기도 성남시분당구 수내동,4113510200
201708,7131,08,2084,3*,집합,수내로,제3종일반주거,제2종근린생활,25m이상,20.0000,0.0000,16000.0000,1,,1992,-,,경기도 성남시분당구 수내동,4113510200
201708,7132,23,2085,1*,집합,정자일로,중심상업,제1종근린생활,25m미만,19.0000,0.0000,27300.0000,,,2013,-,,경기도 성남시분당구 정자동,4113510300
