관리_건축물대장_PK,대지_면적,연면적,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치,시군구명,번지
10891123517,612.5,4132.11,제2종근린생활시설,제2종근린생활시설.업무시설,경기도 성남시 분당구 구미동 186-5번지,경기도 성남시 분당구 구미로9번길 3-10 (구미동),경기도 성남시 분당구 구미동,1**
10891123518,228.8,434.86,단독주택,주택및근린생활시설,경기도 성남시 분당구 구미동 54-8번지,경기도 성남시 분당구 미금일로86번길 3 (구미동),경기도 성남시 분당구 구미동,5*
10891123519,231.0,460.44,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 279-2번지,경기도 성남시 분당구 장미로148번길 3-3 (야탑동),경기도 성남시 분당구 야탑동,2**
10891123520,1027.8,2377.45,종교시설,종교시설(종교집회장),경기도 성남시 분당구 구미동 33번지,경기도 성남시 분당구 성남대로144번길 23 (구미동),경기도 성남시 분당구 구미동,3*
10891123521,206.8,397.5,단독주택,다가구주택(7가구),경기도 성남시 분당구 분당동 165-1번지,경기도 성남시 분당구 장안로14번길 2 (분당동),경기도 성남시 분당구 분당동,1**
10891123522,229.0,420.38,단독주택,다가구주택,경기도 성남시 분당구 야탑동 316-3번지,경기도 성남시 분당구 야탑로153번길 8-8 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123523,199.4,296.64,단독주택,다가구주택(3가구),경기도 성남시 분당구 수내동 98-2번지,경기도 성남시 분당구 발이봉남로4번길 7-1 (수내동),경기도 성남시 분당구 수내동,9*
10891123524,0.0,101.57,단독주택,주택,경기도 성남시 분당구 서현동 138번지,경기도 성남시 분당구 새마을로51번길 9-5 (서현동),경기도 성남시 분당구 서현동,1**
10891123525,264.0,492.13,단독주택,제2종근린생활시설및다가구주택,경기도 성남시 분당구 야탑동 383-11번지,경기도 성남시 분당구 매화로47번길 7 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123526,242.1,468.0,단독주택,근.생및주택,경기도 성남시 분당구 서현동 340-9번지,경기도 성남시 분당구 불정로420번길 27 (서현동),경기도 성남시 분당구 서현동,3**
10891123527,224.9,438.74,단독주택,다가구주택  및 근린생활시설,경기도 성남시 분당구 정자동 62-14번지,경기도 성남시 분당구 느티로77번길 12 (정자동),경기도 성남시 분당구 정자동,6*
10891123528,228.0,430.92,단독주택,단독주택(11가구),경기도 성남시 분당구 서현동 340-14번지,경기도 성남시 분당구 서현로411번길 13 (서현동),경기도 성남시 분당구 서현동,3**
10891123529,205.6,393.12,단독주택,단독주택(3가구),경기도 성남시 분당구 수내동 109-5번지,경기도 성남시 분당구 발이봉남로39번길 8 (수내동),경기도 성남시 분당구 수내동,1**
10891123530,225.2,426.42,단독주택,다가구주택,경기도 성남시 분당구 정자동 80-2번지,경기도 성남시 분당구 황새울로116번길 4-1 (정자동),경기도 성남시 분당구 정자동,8*
10891123531,352.0,269.31,단독주택,단독주택(1가구),경기도 성남시 분당구 구미동 259-3번지,경기도 성남시 분당구 구미로144번길 62 (구미동),경기도 성남시 분당구 구미동,2**
10891123532,231.4,447.12,단독주택,다가구주택,경기도 성남시 분당구 분당동 122-9번지,경기도 성남시 분당구 서현로494번길 14-7 (분당동),경기도 성남시 분당구 분당동,1**
10891123533,660.0,304.05,단독주택,단독주택,경기도 성남시 분당구 백현동 504번지,경기도 성남시 분당구 판교백현로 67-25 (백현동),경기도 성남시 분당구 백현동,5**
10891123534,231.0,429.44,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 구미동 37-1번지,경기도 성남시 분당구 성남대로144번길 18-3 (구미동),경기도 성남시 분당구 구미동,3*
10891123535,18523.4,240695.842,업무시설,업무시설(오피스텔),경기도 성남시 분당구 서현동 255-1번지,경기도 성남시 분당구 서현로 170 (서현동),경기도 성남시 분당구 서현동,2**
10891123536,215.8,415.95,단독주택,다가구주택(3가구)/대피실,경기도 성남시 분당구 수내동 102-4번지,경기도 성남시 분당구 발이봉남로12번길 9 (수내동),경기도 성남시 분당구 수내동,1**
10891123537,225.0,404.2,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 정자동 40-6번지,경기도 성남시 분당구 백현로156번길 22 (정자동),경기도 성남시 분당구 정자동,4*
10891123538,191.5,378.26,단독주택,근린생활시설및 다가구용 단독주택,경기도 성남시 분당구 정자동 132-2번지,경기도 성남시 분당구 불정로87번길 16 (정자동),경기도 성남시 분당구 정자동,1**
