"계약년월","번호","주택유형","시군구명","번지","도로명","대지면적","연면적","거래금액","건축물대장_PK","건물_도로명_주소","건물_대지_주소","건물_주용도","건물_기타용도","건물_대지면적","건물_연면적","번지매핑건수","도로매핑건수","용도매핑건수","면적매핑건수","매매별일련번호"
"201703",5395,단독,경기도 성남시 분당구 서현동,"1**",새마을로51번길,539.0000,110.0000,152000.0000,"10891123524",경기도 성남시 분당구 새마을로51번길 9-5 (서현동),경기도 성남시 분당구 서현동 138번지,단독주택,주택,0.0,101.57,108,18,3,3,2
"201703",5395,단독,경기도 성남시 분당구 서현동,"1**",새마을로51번길,539.0000,110.0000,152000.0000,"10891122175",경기도 성남시 분당구 새마을로51번길 15 (서현동),경기도 성남시 분당구 서현동 140-3번지,단독주택,단독주택,483.47,475.2,108,18,3,3,3
"201703",5396,단독,경기도 성남시 분당구 서현동,"3**",불정로420번길,226.0000,444.0000,139000.0000,"10891122507",경기도 성남시 분당구 불정로420번길 8 (서현동),경기도 성남시 분당구 서현동 334-5번지,단독주택,다가구주택및근린생활시설,226.0,443.8,345,41,37,1,1
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891125890",경기도 성남시 분당구 장미로122번길 11-5 (야탑동),경기도 성남시 분당구 야탑동 286-13번지,단독주택,다가구주택및근린생활시설,231.0,443.36,391,27,26,26,1
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891126686",경기도 성남시 분당구 장미로122번길 11-16 (야탑동),경기도 성남시 분당구 야탑동 295-1번지,단독주택,다가구주택및근린생활시설,231.0,427.96,391,27,26,26,2
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891126778",경기도 성남시 분당구 장미로122번길 11-11 (야탑동),경기도 성남시 분당구 야탑동 286-10번지,단독주택,다가구용단독주택,225.2,450.36,391,27,26,26,3
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891126807",경기도 성남시 분당구 장미로122번길 2 (야탑동),경기도 성남시 분당구 야탑동 289-2번지,단독주택,다가구주택및근린생활시설,229.1,452.8,391,27,26,26,4
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891126812",경기도 성남시 분당구 장미로122번길 11-15 (야탑동),경기도 성남시 분당구 야탑동 286-9번지,단독주택,다가구주택및근린생활시설,231.0,440.64,391,27,26,26,5
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891123637",경기도 성남시 분당구 장미로122번길 3-4 (야탑동),경기도 성남시 분당구 야탑동 287-2번지,단독주택,다가구주택외1,231.8,442.95,391,27,26,26,6
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891123893",경기도 성남시 분당구 장미로122번길 6 (야탑동),경기도 성남시 분당구 야탑동 289-4번지,단독주택,다가구주택및근린생활시설,229.0,447.08,391,27,26,26,7
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124074",경기도 성남시 분당구 장미로122번길 11-17 (야탑동),경기도 성남시 분당구 야탑동 286-8번지,단독주택,근생및주택,230.6,459.0,391,27,26,26,8
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124194",경기도 성남시 분당구 장미로122번길 11-7 (야탑동),경기도 성남시 분당구 야탑동 286-12번지,단독주택,근생및다가구주택(2가구),232.6,462.96,391,27,26,26,9
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124260",경기도 성남시 분당구 장미로122번길 3-16 (야탑동),경기도 성남시 분당구 야탑동 287-6번지,단독주택,다가구주택및근린생활시설,229.4,441.8,391,27,26,26,10
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124267",경기도 성남시 분당구 장미로122번길 3-3 (야탑동),경기도 성남시 분당구 야탑동 288-2번지,단독주택,다가구주택및근린생활시설,231.0,434.5,391,27,26,26,11
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124338",경기도 성남시 분당구 장미로122번길 3-1 (야탑동),경기도 성남시 분당구 야탑동 288-1번지,단독주택,다가구주택및근린생활시설,231.0,460.96,391,27,26,26,12
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124352",경기도 성남시 분당구 장미로122번길 3 (야탑동),경기도 성남시 분당구 야탑동 287-1번지,단독주택,단독주택(13가구),231.8,445.6,391,27,26,26,13
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124630",경기도 성남시 분당구 장미로122번길 11-3 (야탑동),경기도 성남시 분당구 야탑동 286-14번지,단독주택,다가구주택및근린생활시설,233.0,457.72,391,27,26,26,14
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124696",경기도 성남시 분당구 장미로122번길 11-18 (야탑동),경기도 성남시 분당구 야탑동 295-11번지,단독주택,다가구주택및근린생활시설,231.0,434.82,391,27,26,26,15
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124836",경기도 성남시 분당구 장미로122번길 3-10 (야탑동),경기도 성남시 분당구 야탑동 287-4번지,단독주택,단독주택(11가구),180.2,356.22,391,27,26,26,16
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891124985",경기도 성남시 분당구 장미로122번길 3-9 (야탑동),경기도 성남시 분당구 야탑동 288-4번지,단독주택,다가구주택및근린생활시설,288.3,544.51,391,27,26,26,17
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891125647",경기도 성남시 분당구 장미로122번길 3-18 (야탑동),경기도 성남시 분당구 야탑동 287-7번지,단독주택,근린생활시설및다가구주택,228.2,444.2,391,27,26,26,18
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891121661",경기도 성남시 분당구 장미로122번길 3-7 (야탑동),경기도 성남시 분당구 야탑동 288-3번지,단독주택,다가구주택및근린생활시설,231.0,454.96,391,27,26,26,19
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891123242",경기도 성남시 분당구 장미로122번길 3-12 (야탑동),경기도 성남시 분당구 야탑동 287-5번지,단독주택,주택및근린생활시설,222.5,429.84,391,27,26,26,20
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891123163",경기도 성남시 분당구 장미로122번길 3-15 (야탑동),경기도 성남시 분당구 야탑동 288-6번지,단독주택,다가구주택및근린생활시설,234.7,460.56,391,27,26,26,21
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891123129",경기도 성남시 분당구 장미로122번길 4 (야탑동),경기도 성남시 분당구 야탑동 289-3번지,단독주택,다가구주택및근린생활시설,229.0,454.56,391,27,26,26,22
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891122291",경기도 성남시 분당구 장미로122번길 3-13 (야탑동),경기도 성남시 분당구 야탑동 288-5번지,단독주택,다가구주택및근린생활시설,231.0,456.66,391,27,26,26,23
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891122242",경기도 성남시 분당구 장미로122번길 3-8 (야탑동),경기도 성남시 분당구 야탑동 287-3번지,단독주택,근린생활시설및다가구주택(3가구),230.5,444.55,391,27,26,26,24
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891122181",경기도 성남시 분당구 장미로122번길 11-9 (야탑동),경기도 성남시 분당구 야탑동 286-11번지,단독주택,다가구주택,172.2,339.16,391,27,26,26,25
"201703",5397,다가구,경기도 성남시 분당구 야탑동,"2**",장미로122번길,233.0000,441.0000,125000.0000,"10891122062",경기도 성남시 분당구 장미로122번길 3-17 (야탑동),경기도 성남시 분당구 야탑동 288-7번지,단독주택,다가구주택및근린생활시설,231.0,456.66,391,27,26,26,26
"201703",5398,단독,경기도 성남시 분당구 야탑동,"6**",판교로592번길,827.0000,329.0000,200000.0000,"10891122695",경기도 성남시 분당구 판교로592번길 37 (야탑동),경기도 성남시 분당구 야탑동 608-5번지,단독주택,단독주택,827.0,329.1,38,12,11,1,1
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891126720",경기도 성남시 분당구 장미로140번길 3-10 (야탑동),경기도 성남시 분당구 야탑동 283-4번지,단독주택,다가구(2)및근린생활시설,182.5,344.48,391,16,16,16,1
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891126148",경기도 성남시 분당구 장미로140번길 3-11 (야탑동),경기도 성남시 분당구 야탑동 280-5번지,단독주택,다가구주택및근린생활시설,231.5,461.32,391,16,16,16,2
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891126120",경기도 성남시 분당구 장미로140번길 3-3 (야탑동),경기도 성남시 분당구 야탑동 280-2번지,단독주택,다가구주택(8가구),232.0,462.24,391,16,16,16,3
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891125749",경기도 성남시 분당구 장미로140번길 11-9 (야탑동),경기도 성남시 분당구 야탑동 284-8번지,단독주택,다가구주택,297.1,327.24,391,16,16,16,4
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891124969",경기도 성남시 분당구 장미로140번길 3-13 (야탑동),경기도 성남시 분당구 야탑동 280-6번지,단독주택,다가구주택및근린생활시설,231.0,458.88,391,16,16,16,5
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891124837",경기도 성남시 분당구 장미로140번길 6 (야탑동),경기도 성남시 분당구 야탑동 282-6번지,단독주택,다가구주택및근린생활시설,231.0,428.48,391,16,16,16,6
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891124552",경기도 성남시 분당구 장미로140번길 3-14 (야탑동),경기도 성남시 분당구 야탑동 283-6번지,단독주택,다가구주택및근린생활시설,231.0,443.88,391,16,16,16,7
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891123843",경기도 성남시 분당구 장미로140번길 11-13 (야탑동),경기도 성남시 분당구 야탑동 284-6번지,단독주택,주택및근린생활시설,231.0,420.76,391,16,16,16,8
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891123753",경기도 성남시 분당구 장미로140번길 11-11 (야탑동),경기도 성남시 분당구 야탑동 284-7번지,단독주택,다가구주택및근린생활시설,231.9,436.6,391,16,16,16,9
