계약년월,거래구분,번호,계약일,시군구일련번호,번지,주택유형,도로조건,연면적_x,대지면적,거래금액,월세,건축년도,도로명,해제사유발생일,거래유형,시군구명,법정동코드,실거래ID,관리_건축물대장_PK,대지_면적,연면적_y,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233369,363.2,432.3,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-31번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233356,430.8,433.36,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-19번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233358,422.9,436.07,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-21번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233360,418.9,416.42,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-23번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233361,409.7,492.35,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-24번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233365,341.8,403.52,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-25번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233366,330.0,397.6,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-26번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233367,336.9,310.75,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-29번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233357,433.5,451.8,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-20번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233351,436.0,426.88,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-14번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100241223,264.0,330.29,단독주택,단독주택,경기도 성남시 분당구 운중동 997-10번지,경기도 성남시 분당구 산운로208번길 35 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100235421,230.3,293.29,단독주택,단독주택(2가구),경기도 성남시 분당구 운중동 986-13번지,경기도 성남시 분당구 산운로139번길 24 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100243986,230.2,189.04,단독주택,단독주택,경기도 성남시 분당구 운중동 986-15번지,경기도 성남시 분당구 산운로139번길 28 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100244872,230.5,284.58,단독주택,단독주택,경기도 성남시 분당구 운중동 982번지,경기도 성남시 분당구 산운로139번길 2 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100244874,230.3,349.8,단독주택,단독주택,경기도 성남시 분당구 운중동 985-10번지,경기도 성남시 분당구 산운로159번길 7-6 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100245003,313.1,264.48,단독주택,단독주택,경기도 성남시 분당구 운중동 999-1번지,경기도 성남시 분당구 산운로170번길 3-6 (운중동)
